row_type,model_id,configuration,tactic,support,top1_accuracy,balanced_accuracy,top3_accuracy_secondary,mean_reciprocal_rank,normalized_multiclass_brier_score,coverage,abstention_rate,selective_top1_accuracy
per_configuration,current_hard_backoff_vomm,4,all,425,0.715294,0.496653,0.988235,0.851373,0.147911,1.0,0.0,0.715294
per_configuration,external_only_vomm,1,all,1062,0.329567,0.330657,0.645009,0.484934,0.481765,1.0,0.0,0.329567
per_configuration,external_only_vomm,2,all,1262,0.615689,0.483367,0.996038,0.805864,0.14663,1.0,0.0,0.615689
per_configuration,external_only_vomm,3,all,1220,0.609016,0.722538,1.0,0.804508,0.148995,1.0,0.0,0.609016
per_configuration,external_only_vomm,4,all,425,0.715294,0.496653,0.988235,0.851373,0.147911,1.0,0.0,0.715294
per_configuration,dirichlet_vomm,1,all,1062,0.314501,0.320455,0.630885,0.538875,0.490017,1.0,0.0,0.314501
per_configuration,dirichlet_vomm,2,all,1262,0.615689,0.483367,0.99683,0.80692,0.146754,1.0,0.0,0.615689
per_configuration,dirichlet_vomm,3,all,1220,0.609016,0.703505,1.0,0.804508,0.149287,1.0,0.0,0.609016
per_configuration,dirichlet_vomm,4,all,425,0.715294,0.633796,1.0,0.855686,0.14796,1.0,0.0,0.715294
per_configuration,interpolated_ngram,1,all,1062,0.314501,0.320455,0.885122,0.580508,0.431906,1.0,0.0,0.314501
per_configuration,interpolated_ngram,2,all,1262,0.615689,0.483367,0.99683,0.80692,0.146747,1.0,0.0,0.615689
per_configuration,interpolated_ngram,3,all,1220,0.609016,0.703505,1.0,0.804508,0.149277,1.0,0.0,0.609016
per_configuration,interpolated_ngram,4,all,425,0.715294,0.633796,1.0,0.855686,0.148959,1.0,0.0,0.715294
per_configuration,configuration_aware_vomm,1,all,1062,0.385122,0.371734,0.927495,0.632674,0.462197,1.0,0.0,0.385122
per_configuration,configuration_aware_vomm,2,all,1262,0.829635,0.543168,0.999208,0.914091,0.100292,1.0,0.0,0.829635
per_configuration,configuration_aware_vomm,3,all,1220,0.822131,0.575127,1.0,0.910792,0.111991,1.0,0.0,0.822131
per_configuration,configuration_aware_vomm,4,all,425,0.691765,0.327119,1.0,0.842353,0.147652,1.0,0.0,0.691765
